Balloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
07359B1 04	51437317	4772500000	4772500000	MXN	7.0	B	05/05/2023	24/04/2023	30/04/2024	-
09976C1 03	11401278	553194444	553194444	USD	2.16	C	05/05/2023	03/05/2023	31/12/2023	-
00857C1 05	2240559	450000000	450000000	EUR	6.0	C	05/05/2023	03/05/2023	31/12/2023	-
03079B1 73	13960933	140000000	140000000	PLN	3.6	B	05/05/2023	03/05/2023	31/12/2023	-
02901C1 01	14951388	253135000	253135000	MAD	20.0	C	05/05/2023	03/05/2023	30/04/2024	-
02901C1 01	2034899	101255000	101255000	MAD	20.0	C	05/05/2023	03/05/2023	30/04/2024	-
02901C1 01	21847866	101255000	101255000	MAD	20.0	C	05/05/2023	03/05/2023	30/04/2024	-
02901C1 01	51544874	91130000	91130000	MAD	20.0	C	05/05/2023	03/05/2023	30/04/2024	-
02065C1 01	17209764	1335698005	1335698005	DZD	17.55	C	15/05/2023	15/05/2023	01/06/2024	-
02065C1 01	18999384	598621082	598621082	DZD	17.55	C	15/05/2023	15/05/2023	31/12/2023	-
09976C1 03	21986639	418981481	418981481	USD	2.16	C	15/05/2023	15/05/2023	31/12/2023	-
36090B1 01	22163479	18000000000	18000000000	ARS	15.0	B	15/05/2023	15/05/2023	31/10/2023	-
02901C1 01	23142992	45000000	45000000	MAD	20.0	C	15/05/2023	15/05/2023	31/12/2023	-
02065C1 01	2376469	218581196	218581196	DZD	17.55	C	15/05/2023	15/05/2023	03/06/2024	-
36180B1 02	23380516	1398601	1398601	EUR	8.58	B	15/05/2023	15/05/2023	12/05/2024	-
36180B1 02	9676946	5002303	5002303	EUR	21.71	B	24/05/2023	24/05/2023	31/12/2023	-
02065C1 01	1020154	400000000	400000000	DZD	17.55	C	26/05/2023	24/05/2023	31/12/2023	-
02065C1 01	14320811	400000000	400000000	DZD	17.55	C	26/05/2023	24/05/2023	31/12/2023	-
02065C1 01	4276124	560000000	560000000	DZD	17.55	C	26/05/2023	24/05/2023	30/09/2023	-
02065C1 01	45797074	400000000	400000000	DZD	17.55	C	26/05/2023	24/05/2023	31/12/2023	-
04566B1 01	59763258	110000000	110000000	PLN	35.0	B	26/05/2023	24/05/2023	30/04/2024	-
03583C1 02	22107712	851282	851282	EUR	39.0	C	26/05/2023	24/05/2023	30/04/2024	-
35507C1 01	2350143	265432653	265432653	MUR	24.5	C	26/05/2023	24/05/2023	30/09/2023	-
08992C1 01	24290294	2499999	2499999	EUR	28.0	C	26/05/2023	24/05/2023	31/05/2024	-
36090B1 01	550758	18000000000	18000000000	ARS	7.5	B	26/05/2023	24/05/2023	31/10/2023	-
